Province,Gender,Time spent using the internet,Relationship Sat: Friends,Relationship Sat: Relatives or family not living with,Life Satisfaction,Perceived Mental Health,Visible Minority
Ontario,Female,40 hours+/week,Completely satisfied,Completely satisfied,Moderately Satisfied,Excellent,Non-visible minority
Ontario,Male,20 to less than 40 hours/week,Completely satisfied,Completely satisfied,Slightly Satisfied,Fair,Visible minority
Ontario,Male,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Neither Satisfied nor Dissatisfied,Poor,Visible minority
Ontario,Female,Less than 5 hours/week,Completely satisfied,Somewhat satisfied,Slightly Satisfied,Good,Non-visible minority
Ontario,Male,10 to less than 20 hours/week,Neither satisfied nor dissatisfied,Somewhat satisfied,Moderately Satisfied,Excellent,Non-visible minority
Ontario,Male,Less than 5 hours/week,Completely satisfied,Completely satisfied,Moderately Satisfied,Very Good,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Visible minority
Ontario,Male,20 to less than 40 hours/week,Completely satisfied,Completely satisfied,Somewhat Satisfied,Very Good,Non-visible minority
Ontario,Male,Less than 5 hours/week,Completely satisfied,Somewhat satisfied,Neither Satisfied nor Dissatisfied,Fair,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Somewhat dissatisfied,Completely satisfied,Somewhat Dissatisfied,Excellent,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Somewhat satisfied,Somewhat satisfied,Slightly Satisfied,Fair,Visible minority
